year,month,temp_c,precip_mm
1980,11,16.6325,2.0167
1980,12,12.5799,80.7661
1981,1,9.0598,70.0473
1981,2,11.5287,60.3584
1981,3,13.3539,110.4509
1981,4,15.4149,35.3415
1981,5,15.2776,7.7071
1981,6,19.0761,1.1022
1981,7,23.6584,0.2476
1981,8,23.0493,1.6445
1981,9,21.0797,55.79
1981,10,17.5473,11.1296
1981,11,13.2826,11.9823
1981,12,9.2283,0.06
1982,1,10.9303,50.0701
1982,2,10.5261,213.496
1982,3,11.7425,54.029
1982,4,16.2436,12.1289
1982,5,17.5721,3.3445
1982,6,19.0069,1.5677
1982,7,25.3071,0.1788
1982,8,23.6823,0.8278
1982,9,23.527,0.4103
1982,10,18.3844,63.8936
1982,11,13.1547,26.2776
1982,12,10.1212,53.6602
1983,1,10.9261,20.6627
1983,2,10.8116,16.4123
1983,3,11.3734,70.9959
1983,4,15.4032,14.9752
1983,5,16.6876,13.0163
1983,6,18.4897,4.2693
1983,7,22.2735,1.4544
1983,8,22.5993,29.7377
1983,9,24.471,0.5374
1983,10,20.2694,2.157
1983,11,14.1938,31.7065
1983,12,10.1027,61.4109
1984,1,9.6769,40.4238
1984,2,11.1837,11.5304
1984,3,10.0816,73.269
1984,4,13.42,18.7747
1984,5,17.0181,2.4633
1984,6,18.5143,2.2047
1984,7,21.4221,0.3539
1984,8,22.3216,0.9079
1984,9,19.5988,1.8814
1984,10,18.7646,8.2171
1984,11,14.0034,10.0953
1984,12,8.2373,168.6636
1985,1,6.0138,16.0398
1985,2,8.9104,29.0703
1985,3,10.6252,44.3677
1985,4,13.4264,52.7268
1985,5,14.4108,7.3023
1985,6,17.8947,1.1896
1985,7,19.9163,2.0491
1985,8,23.8531,2.5038
1985,9,22.2226,0.9542
1985,10,20.7028,0.323
1985,11,15.0682,1.7352
1985,12,10.7292,36.5938
1986,1,10.7444,133.0212
1986,2,10.7065,87.8616
1986,3,13.3825,52.6801
1986,4,12.9272,34.29
1986,5,16.29,3.3942
1986,6,18.0336,2.2859
1986,7,22.7623,0.8917
1986,8,23.9872,0.1081
1986,9,22.2214,0.4547
1986,10,18.7115,2.038
1986,11,15.4869,1.7168
1986,12,10.2422,30.7102
1987,1,10.0126,131.4405
1987,2,13.2254,3.0283
1987,3,14.4683,12.4439
1987,4,12.1718,119.3747
1987,5,16.4088,28.9499
1987,6,18.3611,3.4513
1987,7,20.3895,2.4055
1987,8,23.429,64.4777
1987,9,19.9726,0.4081
1987,10,17.9839,5.9923
1987,11,11.8416,51.7994
1987,12,9.4346,42.0967
1988,1,8.3574,29.1545
1988,2,11.2117,111.2316
1988,3,11.9632,20.4133
1988,4,13.2289,8.6157
1988,5,16.8392,7.5827
1988,6,18.2325,2.2906
1988,7,21.7151,1.1847
1988,8,23.3059,0.2361
1988,9,20.5464,0.5604
1988,10,19.8419,0.8534
1988,11,14.6313,49.032
