lat,lon,zos_m,year,month
32.5,242.49999999999997,0.19513638,1895,2
32.5,242.49999999999997,0.17065772,1895,3
32.5,242.49999999999997,0.16691585,1895,4
32.5,242.49999999999997,0.17052154,1895,5
32.5,242.49999999999997,0.18263176,1895,6
32.5,242.49999999999997,0.1877921,1895,7
32.5,242.49999999999997,0.193323,1895,8
32.5,242.49999999999997,0.22038627,1895,9
32.5,242.49999999999997,0.23387527,1895,10
32.5,242.49999999999997,0.21269642,1895,11
32.5,242.49999999999997,0.22113454,1895,12
32.5,242.49999999999997,0.20645949,1896,1
32.5,242.49999999999997,0.21730942,1896,2
32.5,242.49999999999997,0.19710073,1896,3
32.5,242.49999999999997,0.16406299,1896,4
32.5,242.49999999999997,0.16899076,1896,5
32.5,242.49999999999997,0.17246115,1896,6
32.5,242.49999999999997,0.1599534,1896,7
32.5,242.49999999999997,0.14736116,1896,8
32.5,242.49999999999997,0.1728044,1896,9
32.5,242.49999999999997,0.1543724,1896,10
32.5,242.49999999999997,0.1483696,1896,11
32.5,242.49999999999997,0.17359217,1896,12
32.5,242.49999999999997,0.16724128,1897,1
32.5,242.49999999999997,0.1551815,1897,2
32.5,242.49999999999997,0.16150899,1897,3
32.5,242.49999999999997,0.1495362,1897,4
32.5,242.49999999999997,0.15791155,1897,5
32.5,242.49999999999997,0.14806639,1897,6
32.5,242.49999999999997,0.1716909,1897,7
32.5,242.49999999999997,0.19034408,1897,8
32.5,242.49999999999997,0.18697925,1897,9
32.5,242.49999999999997,0.17596589,1897,10
32.5,242.49999999999997,0.1573923,1897,11
32.5,242.49999999999997,0.14208451,1897,12
32.5,242.49999999999997,0.14912046,1898,1
32.5,242.49999999999997,0.1588716,1898,2
32.5,242.49999999999997,0.15574178,1898,3
32.5,242.49999999999997,0.13798708,1898,4
32.5,242.49999999999997,0.15103874,1898,5
32.5,242.49999999999997,0.1717372,1898,6
32.5,242.49999999999997,0.20647483,1898,7
32.5,242.49999999999997,0.1967503,1898,8
32.5,242.49999999999997,0.19484839,1898,9
32.5,242.49999999999997,0.22743052,1898,10
32.5,242.49999999999997,0.23406187,1898,11
32.5,242.49999999999997,0.18760058,1898,12
32.5,242.49999999999997,0.18996446,1899,1
32.5,242.49999999999997,0.17144752,1899,2
32.5,242.49999999999997,0.16132909,1899,3
32.5,242.49999999999997,0.16927099,1899,4
32.5,242.49999999999997,0.17757902,1899,5
32.5,242.49999999999997,0.19807176,1899,6
32.5,242.49999999999997,0.18283375,1899,7
32.5,242.49999999999997,0.17774037,1899,8
32.5,242.49999999999997,0.16590597,1899,9
32.5,242.49999999999997,0.19221932,1899,10
32.5,242.49999999999997,0.20267045,1899,11
32.5,242.49999999999997,0.20816687,1899,12
32.5,242.49999999999997,0.24221772,1900,1
